komentar;label;;;;;;;;;;;;;;;;;;;;;
he was made for u bro;0;;;;;;;;;;;;;;;;;;;;;
wheww;0;;;;;;;;;;;;;;;;;;;;;
Me when I’m early to my favorite editers post [happy];0;;;;;;;;;;;;;;;;;;;;;
JAEHYUN I LOVE YOU;0;;;;;;;;;;;;;;;;;;;;;
military can’t handle all that🙁🙏;0;;;;;;;;;;;;;;;;;;;;;
He's so fine omll;0;;;;;;;;;;;;;;;;;;;;;
ᑎᗴᗯ ᒍᗴᗩᑎՏ ᑎᗴVᗴᖇ ᗪIᗴ [happy];0;;;;;;;;;;;;;;;;;;;;;
I SAW THIS KARINA LIVE 😭🙏;0;;;;;;;;;;;;;;;;;;;;;
okeyyyy karina with shirt hair looks like winter;0;;;;;;;;;;;;;;;;;;;;;
i'm not that strong;0;;;;;;;;;;;;;;;;;;;;;
the way it syncs on beat;0;;;;;;;;;;;;;;;;;;;;;
her dance moves omaga😩😩😩;0;;;;;;;;;;;;;;;;;;;;;
THE BEST TALENTED SELF SONG WRITER IDOL OF 4TH GEN GIRL GROUP IDOL 🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥;0;;;;;;;;;;;;;;;;;;;;;
the prettiest also saw this live 🙏😭;0;;;;;;;;;;;;;;;;;;;;;
didn't know this is a 1 hour vid of karina;0;;;;;;;;;;;;;;;;;;;;;
Mother🙏💋;0;;;;;;;;;;;;;;;;;;;;;
So fresh my wifey 🥰;0;;;;;;;;;;;;;;;;;;;;;
who;0;;;;;;;;;;;;;;;;;;;;;
kirain winter oyy [slap][lovely];0;;;;;;;;;;;;;;;;;;;;;
she could be my mother;0;;;;;;;;;;;;;;;;;;;;;
can uu pls remove the text 😭😭 please pleaseee;0;;;;;;;;;;;;;;;;;;;;;
I have something to say but if I speak I ruin my digital footprint;0;;;;;;;;;;;;;;;;;;;;;
Gonna tell my priest my thoughts about this in confession;0;;;;;;;;;;;;;;;;;;;;;
Ain’t no way he doesn’t realize the magnitude this has;0;;;;;;;;;;;;;;;;;;;;;
i need to walk into on coming traffic;0;;;;;;;;;;;;;;;;;;;;;
thoughts are being thunk;0;;;;;;;;;;;;;;;;;;;;;
Man is saying “I see you random JK nighttime live and raise you one thirst level”;1;;;;;;;;;;;;;;;;;;;;;
idk if im fine but we know who is;0;;;;;;;;;;;;;;;;;;;;;
whys this video 10 hrs long;0;;;;;;;;;;;;;;;;;;;;;
um the chain?!? im sick;0;;;;;;;;;;;;;;;;;;;;;
I AM THINKING NORMAL THINGS I AM THINKING NORMAL THINGS;0;;;;;;;;;;;;;;;;;;;;;
even my subjects (psych major here) can’t even find the cure to my deluluness;0;;;;;;;;;;;;;;;;;;;;;
bro i thought my kittens are crying for a second lmfaooo;0;;;;;;;;;;;;;;;;;;;;;
he’s so obsessed with me oh my gosh mingyu;0;;;;;;;;;;;;;;;;;;;;;
Both lips smiled;1;;;;;;;;;;;;;;;;;;;;;
i need to go outside;0;;;;;;;;;;;;;;;;;;;;;
ian and mingyu are sth else these days;0;;;;;;;;;;;;;;;;;;;;;
he knows what he's doing;0;;;;;;;;;;;;;;;;;;;;;
oH he WANTS me wants me;0;;;;;;;;;;;;;;;;;;;;;
YK WHAT I NEED???? THIS MINGYU EDITED TO HEY BABY BY PITBULL. RN. I NEED. WANT.;0;;;;;;;;;;;;;;;;;;;;;
all night all night all night all night;1;;;;;;;;;;;;;;;;;;;;;
sir i am not that dominant but-;1;;;;;;;;;;;;;;;;;;;;;
sorry but I did the Julie trend I didn't look at san what did I miss?;0;;;;;;;;;;;;;;;;;;;;;
Wooyoung Can You Fight? 😔;0;;;;;;;;;;;;;;;;;;;;;
my type;0;;;;;;;;;;;;;;;;;;;;;
duhhhh😩❤️;0;;;;;;;;;;;;;;;;;;;;;
"hi san, im sun
yes, ur sunshine in the future💋";0;;;;;;;;;;;;;;;;;;;;;
holy moly!! [shock];0;;;;;;;;;;;;;;;;;;;;;
TikTok when I'm hungry🤤;1;;;;;;;;;;;;;;;;;;;;;
When he came in my screen;0;;;;;;;;;;;;;;;;;;;;;
il love men with big heart 🥰;1;;;;;;;;;;;;;;;;;;;;;
my type my type🤭;0;;;;;;;;;;;;;;;;;;;;;
would.;0;;;;;;;;;;;;;;;;;;;;;
sengaja ya godain aku;0;;;;;;;;;;;;;;;;;;;;;
melet melet gitu yang ngajarin siapa sayangg??;0;;;;;;;;;;;;;;;;;;;;;
her wife is so lucky;0;;;;;;;;;;;;;;;;;;;;;
it was rare i was there;0;;;;;;;;;;;;;;;;;;;;;
segacor ini gamungkin bbnya 45 gue tb62 bb46 aja keliatan kurus bjir...;0;;;;;;;;;;;;;;;;;;;;;
longsor dan menurun;1;;;;;;;;;;;;;;;;;;;;;
gue kira tadi winter ternyata mbk karina;0;;;;;;;;;;;;;;;;;;;;;
Buset karina😱😎;0;;;;;;;;;;;;;;;;;;;;;
Hear me out😍;0;;;;;;;;;;;;;;;;;;;;;
need every last drop of his maple syrup;1;;;;;;;;;;;;;;;;;;;;;
RIDE ITUH RIDE ITUH RIDE ITUH;1;;;;;;;;;;;;;;;;;;;;;
enough;0;;;;;;;;;;;;;;;;;;;;;
AND HIS SKIN!? NOM NOM!;0;;;;;;;;;;;;;;;;;;;;;
Nah I don't want to say anything inappropriate;0;;;;;;;;;;;;;;;;;;;;;
WHERE IS THIS FROM;0;;;;;;;;;;;;;;;;;;;;;
i need to be put down;0;;;;;;;;;;;;;;;;;;;;;
where can you watch their lives?? 😭😭;0;;;;;;;;;;;;;;;;;;;;;
mingyu doing his job and giving me a preview😌;0;;;;;;;;;;;;;;;;;;;;;
The way he kept moving it forward then back oh sir;0;;;;;;;;;;;;;;;;;;;;;
what is this behavior 🙊🙊;0;;;;;;;;;;;;;;;;;;;;;
ehh lidahnya jangan gitu dongg😌🙂;1;;;;;;;;;;;;;;;;;;;;;
astaghfirullah mantap;0;;;;;;;;;;;;;;;;;;;;;
tadinya mau repost gajadi😭 takut bgt bjir;0;;;;;;;;;;;;;;;;;;;;;
mingyu duluan ma yg mulai😫🙏🏻;0;;;;;;;;;;;;;;;;;;;;;
kita anggap aja dia sering kering bibirnya krn perubahan cuaca;0;;;;;;;;;;;;;;;;;;;;;
jangan goda aku mas;0;;;;;;;;;;;;;;;;;;;;;
gyu yg bener aja😔;0;;;;;;;;;;;;;;;;;;;;;
tanpa sadar gue jg sering kek mingyu;0;;;;;;;;;;;;;;;;;;;;;
mingyu apasihhhh;0;;;;;;;;;;;;;;;;;;;;;
duh suamiku lama bgt pulangnya keburu aku digodain mingyu😭😭😭;0;;;;;;;;;;;;;;;;;;;;;
astaghfirullah lu kenapa mingyu...🤣🤣;0;;;;;;;;;;;;;;;;;;;;;
Mingyu lu bener2 ya😭;0;;;;;;;;;;;;;;;;;;;;;
he's so fineee;0;;;;;;;;;;;;;;;;;;;;;
I have something inappropriate-er to say 😏;1;;;;;;;;;;;;;;;;;;;;;
Plays Seven LOUD;0;;;;;;;;;;;;;;;;;;;;;
I have so much to say but the internet never forgets 🥲;0;;;;;;;;;;;;;;;;;;;;;
Mingyu I am NOT your strongest soldier…;0;;;;;;;;;;;;;;;;;;;;;
I’m thinking of something inappropriate;1;;;;;;;;;;;;;;;;;;;;;
too shy to repost🤭😋;0;;;;;;;;;;;;;;;;;;;;;
for a moment I thought mingyu had TikTok;0;;;;;;;;;;;;;;;;;;;;;
Forget mingyu i need that couch;0;;;;;;;;;;;;;;;;;;;;;
What are we Kim Mingyu?!;0;;;;;;;;;;;;;;;;;;;;;
I cant do this rn mingyu pls;0;;;;;;;;;;;;;;;;;;;;;
Mingyu what are we?;0;;;;;;;;;;;;;;;;;;;;;
i hope someone gave him shit for this i’m DYING 😭 he cracks me up;0;;;;;;;;;;;;;;;;;;;;;
if anything the first angle was ..😳;0;;;;;;;;;;;;;;;;;;;;;
On another note the black sweatshirt+ black hair is THE combo. Like he looks fire 🔥;0;;;;;;;;;;;;;;;;;;;;;
Thoughts thoughts go away come again another- I mean never come again;0;;;;;;;;;;;;;;;;;;;;;
21 mins live and our delusionnal selves is at its peak;0;;;;;;;;;;;;;;;;;;;;;
from my view guys;0;;;;;;;;;;;;;;;;;;;;;
oh my car is coming;1;;;;;;;;;;;;;;;;;;;;;
Lagi puasa met😭;0;;;;;;;;;;;;;;;;;;;;;
menu buka puasa sore ini 🤤;1;;;;;;;;;;;;;;;;;;;;;
kirain winter liat hashtag tulisannya karina🗿;0;;;;;;;;;;;;;;;;;;;;;
naevis nyata ? rin cantik bangett;0;;;;;;;;;;;;;;;;;;;;;
visi misi hidupku adalah menjadi karina;0;;;;;;;;;;;;;;;;;;;;;
Rin pulang aku kesurupan;0;;;;;;;;;;;;;;;;;;;;;
anjir lh cantik banget mba 😔;0;;;;;;;;;;;;;;;;;;;;;
ngeri keluar layar hp belum siap soalnya liat cantiknya karina;0;;;;;;;;;;;;;;;;;;;;;
owh my man😚;0;;;;;;;;;;;;;;;;;;;;;
kataku sih collab aja sama julie bang🙏;0;;;;;;;;;;;;;;;;;;;;;
yeah MIAW MIAW🫦;0;;;;;;;;;;;;;;;;;;;;;
ateez di satuin sm kiss of life pkek sound ini beuuhh mantap njir🥵🔥💋;0;;;;;;;;;;;;;;;;;;;;;
jangan godain aku mas kita beda agama;0;;;;;;;;;;;;;;;;;;;;;
engga diliat penasaran diliat timbul perasaan💗;0;;;;;;;;;;;;;;;;;;;;;
dia kaya godain aku gitu gaksih;0;;;;;;;;;;;;;;;;;;;;;
gyu udah gyu terlalu attractive bgt inimaa😔😔;0;;;;;;;;;;;;;;;;;;;;;
"bangun sahur
tiba-tiba langsung liat yg beginian
astaghfirullah mas😭";0;;;;;;;;;;;;;;;;;;;;;
Lagi berak pun di godain🥰;0;;;;;;;;;;;;;;;;;;;;;
baru bangun loh;0;;;;;;;;;;;;;;;;;;;;;
minggu dan ekspresi wajahnya🤝;0;;;;;;;;;;;;;;;;;;;;;
Muscle memory kasi kaya hirap iwasan.;0;;;;;;;;;;;;;;;;;;;;;
jungkook maaf kawan mu ini mengoda sekali;0;;;;;;;;;;;;;;;;;;;;;
ganteng beud;0;;;;;;;;;;;;;;;;;;;;;
ya ampunnn nakkk 😭;0;;;;;;;;;;;;;;;;;;;;;
lihat - ketakan layar - liat logo menyimpan - unduh - scroll kebawah;0;;;;;;;;;;;;;;;;;;;;;
"Masyaallah?
ehhh itu ganteng banget sihhhh
hshshsbsanannsjzjzb mana melet melet lagi 👈🏻👈🏻😀👈🏻🤍🫦🤍";0;;;;;;;;;;;;;;;;;;;;;
muka dancernya mirip rami bm;0;;;;;;;;;;;;;;;;;;;;;
menyala karina;0;;;;;;;;;;;;;;;;;;;;;
gila makin badas aja lo met🔥;0;;;;;;;;;;;;;;;;;;;;;
aku yang cewe aja suka liat karina😖;0;;;;;;;;;;;;;;;;;;;;;
karian kok makin pulen ya☺️tpi cantik;0;;;;;;;;;;;;;;;;;;;;;
gilakkk cantiknya gacor banget karmet 😭;0;;;;;;;;;;;;;;;;;;;;;
😩😩 CAKEP BANGET PUSING;0;;;;;;;;;;;;;;;;;;;;;
bbku jg 45 tp kok kurus ya😭;0;;;;;;;;;;;;;;;;;;;;;
Giselle jangan bondol yaaa nanti aku pingsan🙏🏻;0;;;;;;;;;;;;;;;;;;;;;
Gila saya beneran stres ini KARINAA AJSISKAISJDGDYYE 😫🥵;0;;;;;;;;;;;;;;;;;;;;;
aduh cakep bgt met 🥵;0;;;;;;;;;;;;;;;;;;;;;
GOD I NEED HIM SO BAD;0;;;;;;;;;;;;;;;;;;;;;
Needed this .;0;;;;;;;;;;;;;;;;;;;;;
miss you pretty boy;0;;;;;;;;;;;;;;;;;;;;;
I need him back right neow;0;;;;;;;;;;;;;;;;;;;;;
something is off…oh mb it’s my clothes 😅;1;;;;;;;;;;;;;;;;;;;;;
This made my hole weak-I MEAN whole week😁;1;;;;;;;;;;;;;;;;;;;;;
I need this man so bad 😫🙏;0;;;;;;;;;;;;;;;;;;;;;
My fyp when I’m alone at night…this is unfair temptation ✌️😔;0;;;;;;;;;;;;;;;;;;;;;
It’s so hard to be a military wife..;0;;;;;;;;;;;;;;;;;;;;;
why was I born so late;0;;;;;;;;;;;;;;;;;;;;;
Yesss the edits are backkkk;0;;;;;;;;;;;;;;;;;;;;;
Roses playing while I’m playing w a rose 💔;0;;;;;;;;;;;;;;;;;;;;;
Op casually dropped jaehyun best edit;0;;;;;;;;;;;;;;;;;;;;;
Too fine😍😍;0;;;;;;;;;;;;;;;;;;;;;
#needthat;0;;;;;;;;;;;;;;;;;;;;;
I wanna be rider;1;;;;;;;;;;;;;;;;;;;;;
the video had no business being that long😔;0;;;;;;;;;;;;;;;;;;;;;
gyu scene pertama cakep bgt🙂🙂🙂;0;;;;;;;;;;;;;;;;;;;;;
Di ajarin jungkook po mas min gyu;0;;;;;;;;;;;;;;;;;;;;;
jangan goda aku mas kita beda agama;0;;;;;;;;;;;;;;;;;;;;;
i want her so bad..;0;;;;;;;;;;;;;;;;;;;;;
My ovaries sing in an operatic church choir when I see hi m;1;;;;;;;;;;;;;;;;;;;;;
mingyu asal kamu tau aku ga pernah se hyper ini liat cowok selain kamu🙏;1;;;;;;;;;;;;;;;;;;;;;
Damn the sound 😌;0;;;;;;;;;;;;;;;;;;;;;
i need to get institutionalised fr;0;;;;;;;;;;;;;;;;;;;;;
so this will gonna be my view huh;1;;;;;;;;;;;;;;;;;;;;;
i have something inappropriate to say;1;;;;;;;;;;;;;;;;;;;;;
ikr I still can't believe we got this for free 😮‍💨;0;;;;;;;;;;;;;;;;;;;;;
uhm both lips smiled;1;;;;;;;;;;;;;;;;;;;;;
he's keeping me nice and delusional so I don't have to stress about the fire burning my house to the ground rn <333 he's so considerate;0;;;;;;;;;;;;;;;;;;;;;
The sound is me;0;;;;;;;;;;;;;;;;;;;;;
I’m one of those meows 🐱;1;;;;;;;;;;;;;;;;;;;;;
I can't lord have mercy 🙏;0;;;;;;;;;;;;;;;;;;;;;
I need to be spayed;0;;;;;;;;;;;;;;;;;;;;;
He knows what he’s doing 💀;0;;;;;;;;;;;;;;;;;;;;;
i have something to say... 𝓫𝓾𝓽 𝓘 𝔀𝓪𝓷𝓷𝓪 𝓰𝓸 𝓽𝓸 𝓬𝓸𝓵𝓵𝓮𝓰𝓮;0;;;;;;;;;;;;;;;;;;;;;
free him from military he served enough;0;;;;;;;;;;;;;;;;;;;;;
mm my military boy;0;;;;;;;;;;;;;;;;;;;;;
he's served enough ‼️;0;;;;;;;;;;;;;;;;;;;;;
White tank and glasses combo is crazy;0;;;;;;;;;;;;;;;;;;;;;
"mom calls him ""the handsome one"" she aint wrong";0;;;;;;;;;;;;;;;;;;;;;
i cant believe i just learned about Jaehyun recently like 😭;0;;;;;;;;;;;;;;;;;;;;;
Is that my sweetie jaehyun;0;;;;;;;;;;;;;;;;;;;;;
Jaehyun come back our 127 kids miss you 😔;0;;;;;;;;;;;;;;;;;;;;;
Sion?;0;;;;;;;;;;;;;;;;;;;;;
Thank you♥️😍🥰;0;;;;;;;;;;;;;;;;;;;;;
My mouth watered;1;;;;;;;;;;;;;;;;;;;;;
ohhhhhh atee;0;;;;;;;;;;;;;;;;;;;;;
missing him real bad today;0;;;;;;;;;;;;;;;;;;;;;
sesak Abang dek😂;1;;;;;;;;;;;;;;;;;;;;;
kalo aku potong rambut kependek itu bisa jadi karina ga ya;0;;;;;;;;;;;;;;;;;;;;;
mah? mamah?;0;;;;;;;;;;;;;;;;;;;;;
yallah cakep bgt jd pgn bondol jg;0;;;;;;;;;;;;;;;;;;;;;
cantiknya😍😍😍;0;;;;;;;;;;;;;;;;;;;;;
sampek gak bisa berkata-kata lagi gwe😭;0;;;;;;;;;;;;;;;;;;;;;
mah udh atuh dede rewel ini😭;0;;;;;;;;;;;;;;;;;;;;;
pulang mah udh atuh dede rewel ini😭;0;;;;;;;;;;;;;;;;;;;;;
menyala met;0;;;;;;;;;;;;;;;;;;;;;
Choi San mau takjil atau takjilatin?;1;;;;;;;;;;;;;;;;;;;;;
mantep bgt bejir ini orang;0;;;;;;;;;;;;;;;;;;;;;
ky ny dia bs gaya apa aja deh?😭😭;0;;;;;;;;;;;;;;;;;;;;;
astaghfirullah mantap;0;;;;;;;;;;;;;;;;;;;;;
mau takjil atau takjilatin nih?;1;;;;;;;;;;;;;;;;;;;;;
tdk ramah buat direpost🥰;0;;;;;;;;;;;;;;;;;;;;;
dibalik itu ada muka dede bayii;0;;;;;;;;;;;;;;;;;;;;;
Tattoo this into my eyes im begging 😭;0;;;;;;;;;;;;;;;;;;;;;
who is THIS;0;;;;;;;;;;;;;;;;;;;;;
born to ride forced to scroll😞🙏;1;;;;;;;;;;;;;;;;;;;;;
i have something crazy to say;0;;;;;;;;;;;;;;;;;;;;;
RELEASE HIM RN;0;;;;;;;;;;;;;;;;;;;;;
These are real people btw 🙄 (I NEED HIM);0;;;;;;;;;;;;;;;;;;;;;
how many days are left for my man to be back?;0;;;;;;;;;;;;;;;;;;;;;
smo edit hyunjij in this audio pls 😞🙏;0;;;;;;;;;;;;;;;;;;;;;
I am not a waitress but…;1;;;;;;;;;;;;;;;;;;;;;
MY FINGERS TIRED RIGHT NOW;1;;;;;;;;;;;;;;;;;;;;;
he knew what he was doing mannnnn;0;;;;;;;;;;;;;;;;;;;;;
i just had a thought 💭;0;;;;;;;;;;;;;;;;;;;;;
I think we’re locked in;0;;;;;;;;;;;;;;;;;;;;;
The content we need 😜;0;;;;;;;;;;;;;;;;;;;;;
I will do anything and everything;0;;;;;;;;;;;;;;;;;;;;;
if i say what i want to say i’ll be back in the psych ward 🙏 so no;0;;;;;;;;;;;;;;;;;;;;;
kecintaan san yang predebut eh makin kesini malah makin kecintaan;0;;;;;;;;;;;;;;;;;;;;;
untung udh buka puasa;0;;;;;;;;;;;;;;;;;;;;;
yaallahh dia lewat sendirii suerr☺️✌️;0;;;;;;;;;;;;;;;;;;;;;
di sw aman g sih??;0;;;;;;;;;;;;;;;;;;;;;
cara mengeluarkan choi san dari hp;0;;;;;;;;;;;;;;;;;;;;;
manusia pulen☺️;0;;;;;;;;;;;;;;;;;;;;;
Buset anak gw di perut langsung joged 😂;0;;;;;;;;;;;;;;;;;;;;;
perasaan ini mulu isi fyp gw dah🗿😭😭;0;;;;;;;;;;;;;;;;;;;;;
ASTAGHFIRULLAH TAMBAH FAVORIT 😊;0;;;;;;;;;;;;;;;;;;;;;
hukum melihat video san di malam takbiran;0;;;;;;;;;;;;;;;;;;;;;
choi San or Kim mingyu🔥🔥;0;;;;;;;;;;;;;;;;;;;;;
kata gua sih lu sama ndoro julie😞🙏🏻;0;;;;;;;;;;;;;;;;;;;;;
biar ap?biarin😭;0;;;;;;;;;;;;;;;;;;;;;
BABY Don't STOP ~~~~;0;;;;;;;;;;;;;;;;;;;;;
guys I can feel it😭😭;0;;;;;;;;;;;;;;;;;;;;;
seeing this on my ovulation days is insane;0;;;;;;;;;;;;;;;;;;;;;
kok bisa uget² gitu ya 🥺;0;;;;;;;;;;;;;;;;;;;;;
Jantungku 😔😋;0;;;;;;;;;;;;;;;;;;;;;
apasi gyu jd takutt sm kmooo;0;;;;;;;;;;;;;;;;;;;;;
short hair>>>>;0;;;;;;;;;;;;;;;;;;;;;
The temperature just increased to 100°C;0;;;;;;;;;;;;;;;;;;;;;
gua 43 ko ga semontok karina ya😞;0;;;;;;;;;;;;;;;;;;;;;
hukum melihat CHOI SAN saat puasa😭;0;;;;;;;;;;;;;;;;;;;;;
astaghfirullah mantap;0;;;;;;;;;;;;;;;;;;;;;
ih lewat mulu;0;;;;;;;;;;;;;;;;;;;;;
MANTAPP BANGETTT ASTAGFIRULLAH 😭😭😭😭;1;;;;;;;;;;;;;;;;;;;;;
jangan goda aku aku lg puasa;0;;;;;;;;;;;;;;;;;;;;;
mantep bgt anj;0;;;;;;;;;;;;;;;;;;;;;
sahur pake Choi San;1;;;;;;;;;;;;;;;;;;;;;
menggoda banget kya takjil😋;1;;;;;;;;;;;;;;;;;;;;;
masuk sw aman gk 😔;0;;;;;;;;;;;;;;;;;;;;;
menggoda bgt kaya takjil 😋😋;1;;;;;;;;;;;;;;;;;;;;;
menu buka puasa sore ini 🤤;1;;;;;;;;;;;;;;;;;;;;;
gapura kabupaten😍;0;;;;;;;;;;;;;;;;;;;;;
yng ngedit ada masalah apa sihh masa seorang Choi San bisa semenggoda ini 😭😭😭;0;;;;;;;;;;;;;;;;;;;;;
darn he's so fine😫😫;0;;;;;;;;;;;;;;;;;;;;;
need that;0;;;;;;;;;;;;;;;;;;;;;
YOU KNEW what you was doing by putting this on my fypppppp ayyeee I luvvvv youuuu😝💕🤣;0;;;;;;;;;;;;;;;;;;;;;
Correct;0;;;;;;;;;;;;;;;;;;;;;
I know the edit is gonna eat when I hear this beat!;0;;;;;;;;;;;;;;;;;;;;;
he must be unhealthy with the way I’m addicted to him- 😩;1;;;;;;;;;;;;;;;;;;;;;
its not a queen bed without my king in it;1;;;;;;;;;;;;;;;;;;;;;
menggoda bgt kayak takjil;1;;;;;;;;;;;;;;;;;;;;;
bersih banget editan nya 10000/10;0;;;;;;;;;;;;;;;;;;;;;
sedang di tahap mau jaehyun banget ya allah🥺;0;;;;;;;;;;;;;;;;;;;;;
Jaehyun 😍😍;0;;;;;;;;;;;;;;;;;;;;;
jangan godain aku;0;;;;;;;;;;;;;;;;;;;;;
kek ai buset daahh😍;0;;;;;;;;;;;;;;;;;;;;;
I CAN'TTTT we the SAME bed sheets 😩😩😩;0;;;;;;;;;;;;;;;;;;;;;
Man he really came for y’all 😂;0;;;;;;;;;;;;;;;;;;;;;
I CANT BREATHE PLEASE HELP ME;0;;;;;;;;;;;;;;;;;;;;;
uh i got something socially inappropriate thing to say;1;;;;;;;;;;;;;;;;;;;;;
this man is really starting to grow on me like alot;0;;;;;;;;;;;;;;;;;;;;;
This apps so crazy I was just bawling my eyes out over tiktok cats now this;0;;;;;;;;;;;;;;;;;;;;;
THE AUDIO 😭😭;0;;;;;;;;;;;;;;;;;;;;;
@#1 lee know stan i think i hear sum;0;;;;;;;;;;;;;;;;;;;;;
i need to be sedated;0;;;;;;;;;;;;;;;;;;;;;
why is he doing this to me;0;;;;;;;;;;;;;;;;;;;;;
literally my pov rn;0;;;;;;;;;;;;;;;;;;;;;
apalah si cowo pulen ini dikira semua cewe kuat liat dia begini 😭😭😭;0;;;;;;;;;;;;;;;;;;;;;
mingyu melet aku kepelet😔;0;;;;;;;;;;;;;;;;;;;;;
